service_group,facility_name,canonical_name,category,district,region,address,phone,age_note,age_bucket,capacity_note,label,reservation_required,reservation_mode,reservation_host,reservation_url,guide_url,notice_url,experience_url,directions_url,source_bucket,priority_score,priority_reasons,official_domain,price_note,status_note,evidence_note
서울형키즈카페,서울형 키즈카페 시립 1호점,서울형 키즈카페 시립 1호점,일반형 키즈카페,동작구,동작구,서울특별시 동작구 노량진로 10 서울가족플라자 지하2층 (대방동),02-824-0614,4 ~ 10세 (연나이 기준),extended,개인 33 명 단체 33 명,예약가능,Y,internal,umppa.seoul.go.kr,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ230901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ230901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=DJ230901&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=DJ230901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=DJ230901&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,4,"서울시 포털 내부 예약 링크, 정원 비교적 큼",umppa.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형 키즈카페 시립 공예마을점,서울형 키즈카페 시립 공예마을점,일반형 키즈카페,종로구,종로구,서울특별시 종로구 율곡로3길 4 서울공예박물관 어린이박물관 (교육동 2~3층),02-6450-7000,0 ~ 9세 (연나이 기준),0-9,개인 50 명 단체 45 명,예약가능,Y,external,craftmuseum.seoul.go.kr,https://craftmuseum.seoul.go.kr/chimsm/exhibit/plan/view/178,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JN251201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=JN251201&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=JN251201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=JN251201&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,4,"외부 예약 링크 연결, 영유아 포함, 정원 비교적 큼",craftmuseum.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형 키즈카페 시립 뚝섬자벌레점,서울형 키즈카페 시립 뚝섬자벌레점,일반형 키즈카페,광진구,광진구,서울특별시 광진구 강변북로 2202 2층 꿈틀나루 (자양동),02-498-4445,0 ~ 6세 (연나이 기준),0-6,개인 43 명 단체 43 명,예약가능,Y,internal,umppa.seoul.go.kr,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GJ240401&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ240401&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=GJ240401&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=GJ240401&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=GJ240401&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,5,"서울시 포털 내부 예약 링크, 영유아 포함, 정원 비교적 큼",umppa.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형 키즈카페 시립 목동점,서울형 키즈카페 시립 목동점,일반형 키즈카페,양천구,양천구,서울특별시 양천구 안양천로 1131 지식산업센터 2층 (목동),02-2647-7507,3 ~ 12세 (연나이 기준),extended,개인 24 명 단체 24 명,예약가능,Y,internal,umppa.seoul.go.kr,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=YC231201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=YC231201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=YC231201&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=YC231201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=YC231201&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,3,서울시 포털 내부 예약 링크,umppa.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형 키즈카페 시립 보라매공원점,서울형 키즈카페 시립 보라매공원점,일반형 키즈카페,동작구,동작구,서울특별시 동작구 여의대방로20길 33 1층 (신대방동),02-831-7220,3 ~ 9세 (연나이 기준),0-9,개인 27 명 단체 27 명,예약가능,Y,internal,umppa.seoul.go.kr,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ250901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ250901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=DJ250901&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=DJ250901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=DJ250901&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,3,서울시 포털 내부 예약 링크,umppa.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형 키즈카페 시립 서울상상나라점,서울형 키즈카페 시립 서울상상나라점,일반형 키즈카페,광진구,광진구,서울특별시 광진구 능동로 216 2층,02-6450-9500,0 ~ 3세 (연나이 기준),0-3,개인 60 명,예약가능,Y,external,www.seoulchildrensmuseum.org,https://www.seoulchildrensmuseum.org,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ251101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=GJ251101&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=GJ251101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=GJ251101&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,4,"외부 예약 링크 연결, 영유아 포함, 정원 비교적 큼",www.seoulchildrensmuseum.org,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형 키즈카페 시립 아리수나라점,서울형 키즈카페 시립 아리수나라점,일반형 키즈카페,광진구,광진구,서울특별시 광진구 능동로 216 서울아리수본부 (능동),02-3146-5946,0 ~ 9세 (연나이 기준),0-9,개인 60 명 단체 60 명,예약가능,Y,external,arisu.seoul.go.kr,https://arisu.seoul.go.kr/home/sub?menukey=7534,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ260101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=GJ260101&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=GJ260101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=GJ260101&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,4,"외부 예약 링크 연결, 영유아 포함, 정원 비교적 큼",arisu.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형 키즈카페 시립 화곡점,서울형 키즈카페 시립 화곡점,일반형 키즈카페,강서구,강서구,서울특별시 강서구 화곡로31나길 35 1층 서울형 키즈카페 시립 화곡점,02-2606-0877,4 ~ 12세 (연나이 기준),extended,개인 61 명 단체 61 명,예약가능,Y,internal,umppa.seoul.go.kr,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GS241101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GS241101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=GS241101&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=GS241101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=GS241101&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,4,"서울시 포털 내부 예약 링크, 정원 비교적 큼",umppa.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형키즈카페 시립 옴팡점,서울형키즈카페 시립 옴팡점,일반형 키즈카페,노원구,노원구,서울특별시 노원구 동일로174길 27 서울생활사박물관 옴팡,02-3399-2900,0 ~ 13세 (연나이 기준),extended,개인 80 명 단체 70 명,예약가능,Y,external,yeyak.seoul.go.kr,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S251118144705678859,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=NW240901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=NW240901&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=NW240901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=NW240901&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,4,"외부 예약 링크 연결, 영유아 포함, 정원 비교적 큼",yeyak.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
서울형키즈카페,서울형키즈카페 시립 한성백제박물관점 (서울백제어린이박물관),서울형키즈카페 시립 한성백제박물관점 (서울백제어린이박물관),일반형 키즈카페,송파구,송파구,"서울특별시 송파구 올림픽로 424 서울백제어린이박물관 (방이동, 올림픽공원내 북2문 인근)",02-2152-5902,0 ~ 3세 (연나이 기준),0-3,개인 20 명 단체 20 명,예약가능,Y,external,yeyak.seoul.go.kr,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260212124817770687,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SP260101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1028&q_fcltyId=SP260101&q_fcltyStle=2001&q_gubun=each,https://umppa.seoul.go.kr/icare/user/bbs/BD_selectBbsList.do?q_bbsCode=1029&q_fcltyId=SP260101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeDirections.do?q_fcltyId=SP260101&q_fcltyStle=2001,서울형 키즈카페 원본 CSV,3,"외부 예약 링크 연결, 영유아 포함",yeyak.seoul.go.kr,서울형 키즈카페 기준 별도 현장 확인 필요,원본 CSV 복구본 기준,복구된 원본 seoul_kidscafe_list.csv 기반
