rank,name,group,category,district,label,age,capacity,price,reservation_url,guide_url,score
1,서울형키즈카페 시립 한성백제박물관점 (서울백제어린이박물관),서울형키즈카페,일반형 키즈카페,송파구,예약가능,0 ~ 3세 (연나이 기준),개인 20 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260212124817770687,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SP260101&q_fcltyStle=2001,131
2,서울형 키즈카페 중구 을지로동점(노리몽땅),서울형키즈카페,일반형 키즈카페,중구,예약가능,0 ~ 6세 (연나이 기준),개인 58 명 단체 58 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=JG251201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JG251201&q_fcltyStle=2001,126
3,서울형 키즈카페 영등포구 대림2동점,서울형키즈카페,일반형 키즈카페,영등포구,예약가능,0 ~ 6세 (연나이 기준),개인 52 명 단체 52 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=YF231001&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=YF231001&q_fcltyStle=2001,125
4,서울형 키즈카페 송파구 장지동점(하하호호놀이터 송파구5호점),서울형키즈카페,일반형 키즈카페,송파구,예약가능,0 ~ 6세 (연나이 기준),개인 46 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SP251101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SP251101&q_fcltyStle=2001,124
5,서울형 키즈카페 시립 뚝섬자벌레점,서울형키즈카페,일반형 키즈카페,광진구,예약가능,0 ~ 6세 (연나이 기준),개인 43 명 단체 43 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GJ240401&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ240401&q_fcltyStle=2001,123
6,서울형 키즈카페 서초구 양재1동점(서리풀노리학교 양재1동점),서울형키즈카페,일반형 키즈카페,서초구,예약가능,0 ~ 6세 (연나이 기준),개인 42 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SC231201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SC231201&q_fcltyStle=2001,123
7,서울형 키즈카페 성북구 보문동점,서울형키즈카페,일반형 키즈카페,성북구,예약가능,0 ~ 6세 (연나이 기준),개인 27 명 단체 40 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SB251201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SB251201&q_fcltyStle=2001,123
8,서울형 키즈카페 중구 중림동점(노리몽땅),서울형키즈카페,일반형 키즈카페,중구,예약가능,0 ~ 6세 (연나이 기준),개인 38 명 단체 38 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=JG240301&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JG240301&q_fcltyStle=2001,122
9,서울형 키즈카페 강동구 성내1동점(아이·맘 강동),서울형키즈카페,일반형 키즈카페,강동구,예약가능,0 ~ 6세 (연나이 기준),개인 22 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GD240101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GD240101&q_fcltyStle=2001,121
10,서울형 키즈카페 관악구 신사동점,서울형키즈카페,일반형 키즈카페,관악구,예약가능,0 ~ 6세 (연나이 기준),개인 15 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GA251101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GA251101&q_fcltyStle=2001,121
